6267	http://www.wikidata.org/entity/Q29014943
3.1 Phillip Lim	http://www.wikidata.org/entity/Q109586151
A. B. Duhamel	http://www.wikidata.org/entity/Q53500170
A. Jandorf & Co.	http://www.wikidata.org/entity/Q62579826
A. Ken	http://www.wikidata.org/entity/Q102281900
A. Wertheim	http://www.wikidata.org/entity/Q60523856
A.F. Vandevorst	http://www.wikidata.org/entity/Q53115453
Aage Thaarup	http://www.wikidata.org/entity/Q18162738
Aarntzen, Jan	http://www.wikidata.org/entity/Q27055706
Aaron Spangler	http://www.wikidata.org/entity/Q16213784
Abbey Clancy	http://www.wikidata.org/entity/Q2821621
Abbey Lee Kershaw	http://www.wikidata.org/entity/Q479451
Abed Mahfouz	http://www.wikidata.org/entity/Q12224143
Abraham Bosse	http://www.wikidata.org/entity/Q326215
Abraham David Christian	http://www.wikidata.org/entity/Q329930
Abraham Raimbach	http://www.wikidata.org/entity/Q4669144
Achille Louis Joseph Sirouy	http://www.wikidata.org/entity/Q4673695
Achille Pace	http://www.wikidata.org/entity/Q43134977
Achille Perilli	http://www.wikidata.org/entity/Q340242
Ackermann, Haider	http://www.wikidata.org/entity/Q966153
Acne Studios	http://www.wikidata.org/entity/Q3277165
Adalbert Werner	http://www.wikidata.org/entity/Q107462561
Adam Adach	http://www.wikidata.org/entity/Q2823916
Adam Avikainen	http://www.wikidata.org/entity/Q111355038
Adam Colton	http://www.wikidata.org/entity/Q618310
Adam Kimmel	http://www.wikidata.org/entity/Q30303315
Adam Ludwig Wirsing	http://www.wikidata.org/entity/Q21612851
Adam Paxon	http://www.wikidata.org/entity/Q98761109
Addison Gill	http://www.wikidata.org/entity/Q27842302
Addo Lodovico Trinci	http://www.wikidata.org/entity/Q23893762
Addy van den Krommenacker	http://www.wikidata.org/entity/Q2533336
Adele List	http://www.wikidata.org/entity/Q354459
Adele Simpson	http://www.wikidata.org/entity/Q4681902
Adeline André	http://www.wikidata.org/entity/Q2824210
Adesuwa Aighewi	http://www.wikidata.org/entity/Q55080910
Adolf Frohner	http://www.wikidata.org/entity/Q114670
Adolfo	http://www.wikidata.org/entity/Q21598064
Adolfo Dominguez	http://www.wikidata.org/entity/Q365063
Adolph Diedrich Kindermann	http://www.wikidata.org/entity/Q365303
Adolph Menzel	http://www.wikidata.org/entity/Q164961
Adolphe Giraldon	http://www.wikidata.org/entity/Q2824825
Adrian	http://www.wikidata.org/entity/Q1366554
Adriana Cernanova	http://www.wikidata.org/entity/Q12761918
Adriana Lima	http://www.wikidata.org/entity/Q151866
Adrien Karbowsky	http://www.wikidata.org/entity/Q2825196
Adrien Tirtiaux	http://www.wikidata.org/entity/Q55235532
Adwoa Aboah	http://www.wikidata.org/entity/Q28967562
Afshin Feiz	http://www.wikidata.org/entity/Q4690381
Agatha Ruiz de la Prada	http://www.wikidata.org/entity/Q2736351
Agenore Fabbri	http://www.wikidata.org/entity/Q3606408
Agnès B.	http://www.wikidata.org/entity/Q2827014
Agnes Denes	http://www.wikidata.org/entity/Q394503
Agnes Maes	http://www.wikidata.org/entity/Q13428729
Agnès Troublé	http://www.wikidata.org/entity/Q2827013
Agnete Hegelund	http://www.wikidata.org/entity/Q4693169
Agostino Bonalumi	http://www.wikidata.org/entity/Q3606725
Agostino Veneziano	http://www.wikidata.org/entity/Q2623716
Agyness Deyn	http://www.wikidata.org/entity/Q181243
Ai Tominaga	http://www.wikidata.org/entity/Q1638484
Aimé Dupont	http://www.wikidata.org/entity/Q15697300
Aitor Throup	http://www.wikidata.org/entity/Q23882034
Ajak Deng	http://www.wikidata.org/entity/Q56715576
Ajit Chauhan	http://www.wikidata.org/entity/Q57315198
Ajuma Nasanyana	http://www.wikidata.org/entity/Q413350
Åke E:son Lindman	http://www.wikidata.org/entity/Q5957132
Aki Kuroda	http://www.wikidata.org/entity/Q1091015
Aki Sasamoto	http://www.wikidata.org/entity/Q26856952
Akker, Koos van den	http://www.wikidata.org/entity/Q6430784
Akuol de Mabior	http://www.wikidata.org/entity/Q61993413
Al Meier	http://www.wikidata.org/entity/Q1413305
Al Vandenberg	http://www.wikidata.org/entity/Q18536858
Alaïa, Azzedine	http://www.wikidata.org/entity/Q2553832
Alaïa, Azzedine (Lugar de nacimiento: Túnez, 1940)	http://www.wikidata.org/entity/Q2553832
Alain Declercq	http://www.wikidata.org/entity/Q2829715
Alain Mikli	http://www.wikidata.org/entity/Q1435796
Alan Green	http://www.wikidata.org/entity/Q19258714
Alan Uglow	http://www.wikidata.org/entity/Q4707949
Alana Zimmer	http://www.wikidata.org/entity/Q4708172
Alber Elbaz	http://www.wikidata.org/entity/Q1362757
Albert Caparo	http://www.wikidata.org/entity/Q4709883
Albert Haelwegh	http://www.wikidata.org/entity/Q5781696
Albert Irvin	http://www.wikidata.org/entity/Q2831268
Albert Merz	http://www.wikidata.org/entity/Q47527024
Albert Meyer (Berlin)	http://www.wikidata.org/entity/Q96113
Albert Robida	http://www.wikidata.org/entity/Q946733
Albert Watson	http://www.wikidata.org/entity/Q2639006
Alberta Ferretti	http://www.wikidata.org/entity/Q24030802
Alberto Abate	http://www.wikidata.org/entity/Q3608101
Alberto Biani	http://www.wikidata.org/entity/Q29048984
Alberto Biasi	http://www.wikidata.org/entity/Q3608150
Alberto Fabiani	http://www.wikidata.org/entity/Q55282006
Alberto Garcia-Alix	http://www.wikidata.org/entity/Q2739771
Alberto Garutti	http://www.wikidata.org/entity/Q3608317
Alberto Giacometti	http://www.wikidata.org/entity/Q157194
Alberto Sughi	http://www.wikidata.org/entity/Q1118376
Alberto Zorzi	http://www.wikidata.org/entity/Q104771898
Albini, Walter	http://www.wikidata.org/entity/Q4017870
Albini, Walter (Lugar de nacimiento: Italia, 1941 - Lugar de defunción: Italia, 1983)	http://www.wikidata.org/entity/Q4017870
Albuquerque Mendes	http://www.wikidata.org/entity/Q9594786
Aldo Mondino	http://www.wikidata.org/entity/Q3609265
Aldo Walker	http://www.wikidata.org/entity/Q52157496
Aldridge, Alan	http://www.wikidata.org/entity/Q3480369
Alejandra Alonso	http://www.wikidata.org/entity/Q12382728
Alek Wek	http://www.wikidata.org/entity/Q239508
Aleksander Balos	http://www.wikidata.org/entity/Q2832510
Alena Akhmadullina	http://www.wikidata.org/entity/Q4073002
Alessandra Ambrosio	http://www.wikidata.org/entity/Q151859
Alessandro Dell'Acqua	http://www.wikidata.org/entity/Q3609984
Alex	http://www.wikidata.org/entity/Q108401143
Alex Hanimann	http://www.wikidata.org/entity/Q21032990
Alex Mirutziu	http://www.wikidata.org/entity/Q108479209
Alex Silber	http://www.wikidata.org/entity/Q95320975
Alexander Alboth	http://www.wikidata.org/entity/Q53498159
Alexander Binder	http://www.wikidata.org/entity/Q95242475
Alexander Gorlizki	http://www.wikidata.org/entity/Q16196957
Alexander Hahn	http://www.wikidata.org/entity/Q22937447
Alexander McQueen	http://www.wikidata.org/entity/Q207939
Alexander van Slobbe	http://www.wikidata.org/entity/Q19712663
Alexander Voet (2)	http://www.wikidata.org/entity/Q23770467
Alexander Wang	http://www.wikidata.org/entity/Q705844
Alexandra Agoston	http://www.wikidata.org/entity/Q59604511
Alexandra Grant	http://www.wikidata.org/entity/Q4720650
Alexandre Herchcovitch	http://www.wikidata.org/entity/Q1787860
Alexandre Jean Louis Jazet	http://www.wikidata.org/entity/Q63523094
Alexandre Lacauchie	http://www.wikidata.org/entity/Q27830723
Alexandre Vauthier	http://www.wikidata.org/entity/Q2834112
Alexina Graham	http://www.wikidata.org/entity/Q14548311
Alexis Mabille	http://www.wikidata.org/entity/Q2834573
Alexis Smith	http://www.wikidata.org/entity/Q16143133
Alf Lechner	http://www.wikidata.org/entity/Q187683
Alf Schuler	http://www.wikidata.org/entity/Q787376
Alfons Borrell	http://www.wikidata.org/entity/Q2834809
Alfonso Hüppi	http://www.wikidata.org/entity/Q317076
Alfredo Pirri	http://www.wikidata.org/entity/Q26972312
Ali Michael	http://www.wikidata.org/entity/Q4725015
Ali Stephens	http://www.wikidata.org/entity/Q3611624
Alice Anderson	http://www.wikidata.org/entity/Q2646836
Alice Burdeu	http://www.wikidata.org/entity/Q3611674
Alice Dellal	http://www.wikidata.org/entity/Q510248
Alice Lee	http://www.wikidata.org/entity/Q111729555
Alice Matzdorff	http://www.wikidata.org/entity/Q102200410
Alice McCall	http://www.wikidata.org/entity/Q4725996
Alice Palmer	http://www.wikidata.org/entity/Q4726043
Alice Roi	http://www.wikidata.org/entity/Q4726070
Alicja Tubilewicz	http://www.wikidata.org/entity/Q94989802
Alighiero E Boetti	http://www.wikidata.org/entity/Q556337
Alima Fofana	http://www.wikidata.org/entity/Q21486038
Alina Baikova	http://www.wikidata.org/entity/Q27942411
Aline Weber	http://www.wikidata.org/entity/Q4726776
Alison Knowles	http://www.wikidata.org/entity/Q243078
Alison Nix	http://www.wikidata.org/entity/Q4727153
Alix Grès	http://www.wikidata.org/entity/Q467847
Alla Kostromicheva	http://www.wikidata.org/entity/Q26251458
Alla Kostromichova	http://www.wikidata.org/entity/Q26251458
